UNU_Key,Average,Year
0101,48.1136771852426,
0102,46.41266108938052,
0103,35.32725492705434,
0104,65.63102778481546,
0105,24.742905982905985,
0106,5.946201844996612,
0108,45.324992438555405,
0109,50.70720304932309,
0113,105.86340537556518,
0114,13.627047801850365,
0201,0.20969459616544184,
0202,2.795547561931085,
0203,3.17242734622476,
0204,5.561617925214609,
0205,0.6255967555766236,
0301,0.586926559456058,
0302,6.6196809431047665,
0303,2.9318142529728988,
0304,10.091485766691612,
0305,0.8414553554816306,
0306,0.2951387187937332,
0307,11.356700810926164,
0308,5.124626759410977,
0309,4.775800355507943,
0401,0.07530715598921589,
0402,1.330604424316321,
0403,1.8092247179642618,
0404,2.5483505714236276,
0405,2.0902096307410782,
0406,0.7443353125057803,
0407,2.858271888325258,
0408,11.670903648728977,
0502,0.08947414529587977,
0503,0.13729501825169302,
0504,0.08230226233294576,
0601,3.5548706935940784,
0703,2.8181818181818183,
0801,0.06589679050221997,
0901,0.3164158165395588,
0902,1.1433471487780478,
1001,38.93429795333702,
1002,90.10279001468427,
BEV,1130.9276909694195,
Buses,3704.857142857143,
Electric bikes,33.601542455479816,
HEV,1510.037037037037,
Industrial machines,202.80593254309107,
Industrial pumps,9.283749377266346,
Industrial robots,30.807453416149073,
NRMM,3784.75,
PHEV,1800.7483277591973,
Trucks,3475.0,
Wind turbines,1035.7559579824745,
special,3778.8,
Cars,1127.5336020584032,1993.0
Cars,1158.066534822614,1994.0
Cars,1175.9698531577433,1995.0
Cars,1209.8263106098593,1996.0
Cars,1245.1726159229702,1997.0
Cars,1316.7344198319984,1998.0
Cars,1283.0033374871994,1999.0
Cars,1267.7787173346546,2000.0
Cars,1263.9695184022735,2001.0
Cars,1269.6595954612728,2002.0
Cars,1288.8651909273465,2003.0
Cars,1284.8191877331265,2004.0
Cars,1321.3923957253746,2005.0
Cars,1079.2268749017387,2006.0
Cars,1101.8459514330596,2007.0
Cars,1155.2125915035476,2008.0
Cars,1308.955920230316,2009.0
Cars,1389.6756574583155,2010.0
Cars,1387.0102026231334,2011.0
Cars,1394.4765652613542,2012.0
Cars,1394.9140163536815,2013.0
Cars,1434.287916731883,2014.0
Cars,1457.160901498796,2015.0
Cars,1437.1419339019317,2016.0
Cars,1401.217741935484,2017.0
Cars,1451.977712050044,2018.0
Fans,2.004241170183065,2006.0
Fans,2.2074477045004177,2007.0
Fans,2.0005558770857674,2008.0
Fans,2.0024605177951473,2009.0
Fans,2.349190003783494,2010.0
Fans,2.21909798385368,2011.0
Fans,2.2234414102176485,2012.0
Fans,2.3849064470290875,2013.0
Fans,2.2131528687814743,2014.0
Fans,2.244198819912576,2015.0
Fans,2.1529236753307703,2016.0
Fans,2.1330703314930206,2017.0
Fans,2.1567630709666266,2018.0
Motorhomes,1776.3610038610038,1993.0
Motorhomes,1927.6041666666665,1994.0
Motorhomes,1902.0833333333335,1995.0
Motorhomes,2312.309074573225,1996.0
Motorhomes,2310.448952444297,1997.0
Motorhomes,2341.428571428572,1998.0
Motorhomes,2168.6507936507933,1999.0
Motorhomes,2344.2844284428447,2000.0
Motorhomes,2386.3265195760328,2001.0
Motorhomes,2423.015873015873,2002.0
Motorhomes,2502.428223844282,2003.0
Motorhomes,2325.0,2004.0
Motorhomes,2476.589417555373,2005.0
Motorhomes,2100.0,2006.0
Motorhomes,2034.1188524590164,2007.0
Motorhomes,2206.25,2008.0
Motorhomes,2180.551948051948,2009.0
Motorhomes,2558.5,2010.0
Motorhomes,2583.8318682515483,2011.0
Motorhomes,2594.629261363636,2012.0
Motorhomes,2563.8034682080925,2013.0
Motorhomes,2474.6132044560945,2014.0
Motorhomes,2630.988427779743,2015.0
Motorhomes,2651.288778446247,2016.0
Motorhomes,2740.8227958236653,2017.0
Motorhomes,2560.6666666666665,2018.0
NiMH batteries,0.06450082848407548,2012.0
NiMH batteries,0.0604231977049884,2013.0
NiMH batteries,0.05035986936529015,2014.0
NiMH batteries,0.06007665433696423,2015.0
NiMH batteries,0.06009208850543131,2016.0
NiMH batteries,0.05641590527385749,2017.0
NiMH batteries,0.048896782593315036,2018.0
Shavers,0.34163138460872106,1993.0
Shavers,0.3044430162044368,1994.0
Shavers,0.34240752305133787,1995.0
Shavers,0.3559883188785249,1996.0
Shavers,0.33572647760494506,1997.0
Shavers,0.35894941781863876,1998.0
Shavers,0.345592287500737,1999.0
Shavers,0.3610517160149313,2000.0
Shavers,0.4045782521991131,2001.0
Shavers,0.39972932014717455,2002.0
Shavers,0.42069441744700686,2003.0
Shavers,0.41476647187187027,2004.0
Shavers,0.4217056831190703,2005.0
Shavers,0.3520883752703653,2006.0
Shavers,0.3576846286814176,2007.0
Shavers,0.3406184766160362,2008.0
Shavers,0.3985456430299712,2009.0
Shavers,0.4334505305977672,2010.0
Shavers,0.4087503621570523,2011.0
Shavers,0.3894421614087582,2012.0
Shavers,0.3728056240025863,2013.0
Shavers,0.3586175029370832,2014.0
Shavers,0.3552143967133767,2015.0
Shavers,0.36133608113740145,2016.0
Shavers,0.3595367380590089,2017.0
Shavers,0.3497888156724231,2018.0
