UNU_Key	Product	Component	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	Nd_content	Component_weight	Nd_concentration	Content_source	Component_source	Conc_source	Prod_weight
0001	Central heating (household)	NdFeB	0	0.000700934579439	0.001557632398754	0.002725856697819	0.004672897196262	0.007373168472624	0.010851805806136	0.014330443139649	0.017809080473162	0.021287717806674	0.024766355140187	0.029065420560748	0.033364485981309	0.037663551401869	0.04196261682243	0.046261682242991	0.057009345794393	0.067757009345794	0.078504672897196	0.089252336448598	0.1	0.098736194448099	0.097472388896198	0.096208583344297	0.094944777792396	0.093680972240495	0.09319328459878	0.092480870711065	0.091745827653492	0.090413785759208	0.088829087335843		200	0.2231		Grundfos	Walton (2019) – M6 Presentation	30.85
0102	Dishwashers	NdFeB	0	0.000424528301887	0.000943396226415	0.001650943396226	0.002830188679245	0.004465635999457	0.006572508799566	0.008679381599674	0.010786254399783	0.012893127199891	0.015	0.022693760695958	0.031893241051778	0.042598441067459	0.054809360743001	0.068526000078404	0.094429757920403	0.124097814912054	0.157530171053359	0.194726826344317	0.235687780784928	0.25	0.199531868817504	0.150289475180802	0.102272819089893	0.055481900544778	0.01	0.009923555233536	0.009844682269595	0.009701749020701	0.009531704748714		35.1351351351351	0.2280		Seo & Morimoto (2014)	Habib et al. (2014); Sekine et al. (2017)	45.488275862069
0104	Washing machines	NdFeB	0	0.000424528301887	0.000943396226415	0.001650943396226	0.002830188679245	0.004465635999457	0.006572508799566	0.008679381599674	0.010786254399783	0.012893127199891	0.015	0.022693760695958	0.031893241051778	0.042598441067459	0.054809360743001	0.068526000078404	0.094429757920403	0.124097814912054	0.157530171053359	0.194726826344317	0.235687780784928	0.25	0.199531868817504	0.150289475180802	0.102272819089893	0.055481900544778	0.01	0.009923555233536	0.009844682269595	0.009701749020701	0.009531704748714	0.000111363	130	0.2280		Seo & Morimoto (2014)	Habib et al. (2014); Sekine et al. (2017)	71.3865517241379
0105	Dryers	NdFeB	0	0.000424528301887	0.000943396226415	0.001650943396226	0.002830188679245	0.004465635999457	0.006572508799566	0.008679381599674	0.010786254399783	0.012893127199891	0.015	0.022693760695958	0.031893241051778	0.042598441067459	0.054809360743001	0.068526000078404	0.094429757920403	0.124097814912054	0.157530171053359	0.194726826344317	0.235687780784928	0.25	0.199531868817504	0.150289475180802	0.102272819089893	0.055481900544778	0.01	0.009923555233536	0.009844682269595	0.009701749020701	0.009531704748714		101.891891891892	0.2280		Seo & Morimoto (2014)	Habib et al. (2014); Sekine et al. (2017)	43.1862068965517
0106	Heating and ventilation (household)	NdFeB	0	0.00035046728972	0.000778816199377	0.00136292834891	0.002336448598131	0.003686584236312	0.005425902903068	0.007165221569824	0.008904540236581	0.010643858903337	0.012383177570094	0.014532710280374	0.016682242990654	0.018831775700935	0.020981308411215	0.023130841121495	0.028504672897196	0.033878504672897	0.039252336448598	0.044626168224299	0.05	0.04936809722405	0.048736194448099	0.048104291672149	0.047472388896198	0.046840486120248	0.04659664229939	0.046240435355532	0.045872913826746	0.045206892879604	0.044414543667921	0.0001226		0.2280	Nansai et al. (2014)			12.14
0108	Fridges	NdFeB	0	0.000283018867925	0.00062893081761	0.001100628930818	0.00188679245283	0.002977090666305	0.004381672533044	0.005786254399783	0.007190836266522	0.008595418133261	0.01	0.014147925373219	0.019009391007302	0.024584396902248	0.030872943058059	0.037875029474732	0.051405360911062	0.066719542999551	0.0838175757402	0.102699459133007	0.123365193177974	0.13	0.104760651572001	0.080132649312547	0.056115993221638	0.032710683299275	0.01	0.009923555233536	0.009844682269595	0.009701749020701	0.009531704748714	2.9175E-05	112.5	0.2280		Seo & Morimoto (2014); Sekine et al (2017)	Habib et al. (2014); Sekine et al. (2017)	38.1810344827586
0109	Freezers	NdFeB	0	0.000283018867925	0.00062893081761	0.001100628930818	0.00188679245283	0.002977090666305	0.004381672533044	0.005786254399783	0.007190836266522	0.008595418133261	0.01	0.014147925373219	0.019009391007302	0.024584396902248	0.030872943058059	0.037875029474732	0.051405360911062	0.066719542999551	0.0838175757402	0.102699459133007	0.123365193177974	0.13	0.104760651572001	0.080132649312547	0.056115993221638	0.032710683299275	0.01	0.009923555233536	0.009844682269595	0.009701749020701	0.009531704748714	2.9175E-05	112.5	0.2280		Seo & Morimoto (2014); Sekine et al (2017)	Habib et al. (2014); Sekine et al. (2017)	43.9068965517241
0111	Air conditioners	NdFeB	0	0	0	0	0	0.00395343053404	0.011637292863373	0.023051586987999	0.038196312907917	0.057071470623127	0.07967706013363	0.109092427616927	0.143118040089087	0.181753897550111	0.225	0.233643345365179	0.27016895783734	0.3	0.340199173780063	0.378375707540136	0.414529601280217	0.4	0.394940071587564	0.389878587288495	0.384815547102791	0.379750951030453	0.377831396112412	0.375	0.37201947933156	0.366618192486876	0.360192410547402		152	0.2280		Morimoto et al. (2017); Sekine et al (2017); Schulze & Buchert (2016)		26.7
0112	Other cooling	NdFeB	0	0	0	0	0	0.00098835763351	0.002909323215843	0.005762896747	0.009549078226979	0.014267867655782	0.019919265033408	0.027273106904232	0.035779510022272	0.045438474387528	0.05625	0.058410836341295	0.067542239459335	0.075	0.085049793445016	0.094593926885034	0.103632400320054	0.1	0.098735017896891	0.097469646822124	0.096203886775698	0.094937737757613	0.094457849028103	0.09375	0.09300486983289	0.091654548121719	0.090048102636851		200	0.2280				41.7
0113	Cooling (professional)	NdFeB	0	0.000283018867925	0.00062893081761	0.001100628930818	0.00188679245283	0.002977090666305	0.004381672533044	0.005786254399783	0.007190836266522	0.008595418133261	0.01	0.014147925373219	0.019009391007302	0.024584396902248	0.030872943058059	0.037875029474732	0.051405360911062	0.066719542999551	0.0838175757402	0.102699459133007	0.123365193177974	0.13	0.123587147576355	0.117297440909988	0.1111308800009	0.10508746484909	0.1	0.099235552335362	0.09844682269595	0.097017490207006	0.095317047487138		350	0.2280		Morimoto et al. (2019)		102.820344827586
