New_Key,Year,Share
0303b,2009,0
0303b,2010,0.086363636363636
0303b,2011,0.266666666666667
0303b,2012,0.419075144508671
0303b,2013,0.548652694610778
0303b,2014,0.569019239329344
0303b,2015,0.56049582322824
0303b,2016,0.527283690081399
0303b,2017,0.503227789732555
0303b,2018,0.480806142034549
0303b,2019,0.451783355350066
0303b,2020,0.450646623190008
0303b,2021,0.449500554938957
0303b,2022,0.448345035105316
0303b,2023,0.416581371545548
0306b,2005,0
0306b,2005,0.02
0306b,2006,0.03
0306b,2007,0.06
0306b,2008,0.11
0306b,2009,0.17
0306b,2010,0.27
0306b,2011,0.42
0306b,2012,0.54
0306b,2013,0.65
0306b,2014,0.75
0306b,2015,0.79
0306b,2016,0.848501804516684
0306b,2017,0.87815297090684
0306b,2018,0.895857321630109
0306b,2019,0.906189237824647
0306b,2020,0.912138387646763
0306b,2021,0.915537490330503
0306b,2022,0.917471007555762
0306b,2023,0.918568080254912
