"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","1993","BEL",8564300,277611.021069692
"0001","1993","ESP",14782400,479170.17828201
"0001","1993","GBR",7464400,241957.860615883
"0001","1993","GRC",4941800,160188.006482982
"0001","1993","IRL",1877200,60849.2706645057
"0001","1993","NLD",520400,16868.7196110211
"0001","1993","PRT",886000,28719.6110210697
"0001","1994","BEL",8202600,265886.547811994
"0001","1994","ESP",17265800,559669.367909238
"0001","1994","GBR",10331800,334904.376012966
"0001","1994","GRC",4328900,140320.907617504
"0001","1994","IRL",1487400,48213.9384116694
"0001","1994","NLD",2960400,95961.1021069692
"0001","1994","PRT",1042500,33792.5445705024
"0001","1995","AUT",7793972.2,252640.914100486
"0001","1995","BEL",25145791.4,815098.586709886
"0001","1995","DEU",35235940.6,1142169.87358185
"0001","1995","ESP",22714551.8,736290.171799028
"0001","1995","GBR",121613730.4,3942098.23014587
"0001","1995","GRC",7104444,230289.918962723
"0001","1995","IRL",2142300,69442.4635332253
"0001","1995","ITA",85952252.4,2786134.59967585
"0001","1995","NLD",35292500,1144003.24149109
"0001","1995","PRT",1359429,44065.7698541329
"0001","1995","SWE",2668761.64044235,86507.6706788444
"0001","1996","AUT",10429495,338071.150729335
"0001","1996","BEL",26498220.4,858937.452188007
"0001","1996","DEU",34077095.6,1104606.01620746
"0001","1996","ESP",23099272.8,748760.868719611
"0001","1996","FRA",94961425.2,3078166.13290113
"0001","1996","GBR",128290208.6,4158515.67585089
"0001","1996","GRC",7869156,255077.990275527
"0001","1996","IRL",4690479.14203208,152041.463274946
"0001","1996","ITA",140305641.643564,4547994.86689023
"0001","1996","NLD",38161900,1237014.58670989
"0001","1996","PRT",1864349.8309148,60432.733579086
"0001","1996","SWE",3629846.8,117661.160453809
"0001","1997","AUT",13127074.4,425512.946515397
"0001","1997","BEL",28104243,910996.531604538
"0001","1997","DEU",26204647.2,849421.303079417
"0001","1997","ESP",21032250.2,681758.515397083
"0001","1997","FRA",95917211.4,3109147.85737439
"0001","1997","GBR",147719779.4,4788323.48136143
"0001","1997","GRC",8381340,271680.38897893
"0001","1997","IRL",6120265.03431073,198387.845520607
"0001","1997","ITA",131170489.671429,4251879.73003011
"0001","1997","NLD",42260300,1369863.85737439
"0001","1997","PRT",1315306.46015001,42635.541658023
"0001","1997","SWE",3536339,114630.113452188
"0001","1998","AUT",13335380.4,432265.166936791
"0001","1998","BEL",26052047.6,844474.800648298
"0001","1998","DEU",15624796.8,506476.395461912
"0001","1998","ESP",30241516.8,980276.071312804
"0001","1998","FRA",97777967,3169464.08427877
"0001","1998","GBR",155976065.4,5055950.2560778
"0001","1998","GRC",9224624,299015.364667747
"0001","1998","IRL",6800863.90103842,220449.397116318
"0001","1998","ITA",165696190.2,5371027.2350081
"0001","1998","NLD",38333060,1242562.72285251
"0001","1998","SVK",6238116.8,202208
"0001","1998","SWE",3634469.6,117811.008103728
"0001","1999","AUT",11267597.2,365238.158833063
"0001","1999","BEL",24886450.6,806692.077795786
"0001","1999","CZE",1188600,38528.3630470016
"0001","1999","DEU",12152281.8,393915.131280389
"0001","1999","DNK",83792,2716.11021069693
"0001","1999","ESP",29878010.6,968493.050243112
"0001","1999","EST",432600,14022.6904376013
"0001","1999","FIN",289236.6,9375.57860615884
"0001","1999","FRA",108609225.2,3520558.35332253
"0001","1999","GBR",139636375,4526300.64829822
"0001","1999","GRC",9183796,297691.928687196
"0001","1999","HUN",2959500,95931.9286871961
"0001","1999","IRL",10006224,324350.858995138
"0001","1999","ITA",207534924.8,6727226.08752026
"0001","1999","LTU",1214500,39367.9092382496
"0001","1999","LUX",960200,31124.7974068071
"0001","1999","LVA",954900,30952.9983792545
"0001","1999","NLD",40847280,1324060.94003242
"0001","1999","POL",17247900,559089.141004862
"0001","1999","PRT",1869368,60595.397082658
"0001","1999","ROU",4257000,137990.275526742
"0001","1999","SVK",3205250.8,103897.918962723
"0001","1999","SVN",2144100,69500.8103727715
"0001","1999","SWE",3894370.2,126235.662884927
"0001","2000","AUT",8648362.4,280335.896272285
"0001","2000","BEL",18404211,596570.858995138
"0001","2000","BGR",563200,18256.0777957861
"0001","2000","DEU",4617879.8,149688.162074554
"0001","2000","ESP",35137451.6,1138977.36142626
"0001","2000","EST",732184.833333333,23733.7061048082
"0001","2000","FIN",484820.409302331,15715.4103501566
"0001","2000","FRA",116160551,3765333.90599676
"0001","2000","GBR",137663370.8,4462345.89303079
"0001","2000","GRC",6923122.48,224412.398055105
"0001","2000","HUN",5746700,186278.768233387
"0001","2000","IRL",9995157,323992.123176661
"0001","2000","ITA",179295633.8,5811851.98703404
"0001","2000","LTU",1752258.2,56799.2933549433
"0001","2000","LUX",894600,28998.379254457
"0001","2000","LVA",871100,28236.6288492707
"0001","2000","NLD",42618960,1381489.78930308
"0001","2000","POL",12549000,406774.71636953
"0001","2000","PRT",3649338,118292.965964344
"0001","2000","ROU",6708100,217442.463533225
"0001","2000","SVK",2818484,91360.907617504
"0001","2000","SVN",1439900,46674.2301458671
"0001","2000","SWE",3956223.8,128240.641815235
"0001","2001","AUT",3574269,115859.61102107
"0001","2001","BEL",13064242,423476.23987034
"0001","2001","BGR",205400,6658.0226904376
"0001","2001","CZE",8907981,288751.410048622
"0001","2001","DEU",12798686,414868.265802269
"0001","2001","ESP",27770442.6,900176.421393841
"0001","2001","EST",1040672.9,33733.319286872
"0001","2001","FRA",98540222.8,3194172.53808752
"0001","2001","GBR",145863913.8,4728165.76337115
"0001","2001","GRC",6925955.4,224504.226904376
"0001","2001","HRV",824558.8,26728
"0001","2001","HUN",5922973.2,191992.648298217
"0001","2001","IRL",10576757.6,342844.654781199
"0001","2001","ITA",220259130.4,7139680.07779579
"0001","2001","LTU",2612699,84690.4051863857
"0001","2001","LUX",605800,19636.9529983793
"0001","2001","LVA",1261660.4,40896.6094003242
"0001","2001","NLD",43832175,1420816.04538088
"0001","2001","POL",12339300,399977.309562399
"0001","2001","PRT",2120359.4,68731.2609400324
"0001","2001","ROU",11071600,358884.92706645
"0001","2001","SVK",6061811.12746052,196493.067340698
"0001","2001","SVN",1597791.8,51792.2787682334
"0001","2001","SWE",5416793.6,175584.881685575
"0001","2002","AUT",4036049.6,130828.188006483
"0001","2002","BEL",13211511,428249.951377634
