"UNU_Key","IntroductionYear"
"0001",1960
"0002",1990
"0101",1960
"0102",1970
"0103",1960
"0104",1960
"0105",1978
"0106",1970
"0108",1960
"0109",1974
"0111",1980
"0112",1977
"0113",1960
"0114",1985
"0201",1960
"0202",1970
"0203",1970
"0204",1960
"0205",1960
"0301",1980
"0302",1983
"0303",1981
"0304",1970
"0305",1960
"0306",1985
"0307",1990
"0308",1980
"0309",1980
"0401",1970
"0402",1960
"0403",1960
"0404",1984
"0405",1960
"0406",1985
"0407",1960
"0408",2000
"0501",1970
"0502",1988
"0503",1960
"0504",1960
"0505",2004
"0506",1960
"0507",1960
"0601",1960
"0602",1960
"0701",1960
"0702",1985
"0703",1975
"0801",1970
"0802",1970
"0901",1960
"0902",1970
"1001",1960
"1002",1970
"0201b",1960
"0205b",1960
"0301b",1985
"0401b",1984
"0404b",1984
"0802b",1970
"1101",1925
"1102",1999
"1102a",1999
"1102b",2004
"1103",1997
"1104",1985
"1105",1925
"1106",1925
"1107",1989
"1108",1997
"1201",1900
"1202",1900
"1203",1900
"1204",1900
"1205",1990
"1205a",1982
"1205b",1991
"1206",1973
"1207",1920
"1301",1920
"1302",1970
