UNU_Key,Country,AverageWeight,Year
0702,,0.48,2014.0
0703,,7.37,2014.0
0801,,0.18,2014.0
0802,,67.04,2014.0
0901,,0.24,2014.0
0902,,5.51,2014.0
0112,,41.7,2014.0
0113,,110.1,2014.0
0114,,22.9,2014.0
0002,,17.0,2014.0
0109,,44.05,2009.0
0111,,26.7,2009.0
0201,,1.01,2009.0
0202,,3.27,2009.0
0203,,1.89,2009.0
0204,,5.8,2009.0
0205,,0.55,2009.0
0301,,0.41,2009.0
0302,,8.88,2009.0
0303,,2.43,2009.0
0304,,10.08,2009.0
0305,,0.47,2009.0
0306,,0.09,2009.0
0307,,40.0,2009.0
0308,,21.47,2009.0
0309,,5.46,2009.0
0401,,0.39,2009.0
0402,,0.24,2009.0
0403,,3.76,2009.0
0404,,3.51,2009.0
0405,,2.2,2009.0
0406,,0.34,2009.0
0407,,32.61,2009.0
0408,,14.15,2009.0
0501,,0.09,2009.0
0502,,0.08,2009.0
0505,,0.08,2009.0
0504,,0.07,2009.0
0503,,0.11,2009.0
0506,,0.45,2009.0
0507,,2.67,2009.0
0701,,0.45,2009.0
0702,,0.48,2009.0
0703,,7.37,2009.0
0801,,0.18,2009.0
0802,,67.04,2009.0
0901,,0.24,2009.0
0902,,5.51,2009.0
1001,,44.0,2009.0
1002,,92.22,2009.0
0001,,30.85,2010.0
1001,,44.0,2010.0
1002,,92.22,2010.0
0101,,124.61,2010.0
0102,,43.3,2010.0
0103,,47.66,2010.0
0104,,72.54,2010.0
0105,,45.98,2010.0
0106,,12.14,2010.0
0108,,40.79,2010.0
0109,,44.09,2010.0
0111,,26.7,2010.0
0201,,0.99,2010.0
0202,,3.27,2010.0
0203,,1.89,2010.0
0204,,5.88,2010.0
0205,,0.55,2010.0
0301,,0.4,2010.0
0302,,8.77,2010.0
0303,,2.28,2010.0
0304,,10.32,2010.0
0305,,0.45,2010.0
0306,,0.09,2010.0
0307,,40.0,2010.0
0308,,22.0,2010.0
0309,,5.5,2010.0
0401,,0.39,2010.0
0402,,0.23,2010.0
0403,,3.73,2010.0
0404,,3.51,2010.0
0405,,2.14,2010.0
0406,,0.29,2010.0
0407,,33.2,2010.0
0408,,14.7,2010.0
0501,,0.09,2010.0
0502,,0.08,2010.0
0505,,0.08,2010.0
0504,,0.07,2010.0
0503,,0.11,2010.0
0506,,0.45,2010.0
0507,,2.67,2010.0
0701,,0.45,2010.0
0702,,0.48,2010.0
0703,,7.37,2010.0
0103,,46.0,2006.0
0103,,46.41,2007.0
0103,,46.83,2008.0
0104,,69.36,1993.0
0104,,69.36,1994.0
0104,,69.36,1995.0
0104,,69.36,1996.0
0104,,69.58,1997.0
0104,,69.81,1998.0
0104,,70.04,1999.0
0104,,70.26,2000.0
0104,,70.49,2001.0
0104,,70.72,2002.0
0104,,70.95,2003.0
0104,,71.17,2004.0
0104,,71.4,2005.0
0104,,71.63,2006.0
0104,,71.85,2007.0
0104,,72.08,2008.0
0105,,38.27,1993.0
0105,,38.27,1994.0
0105,,38.27,1995.0
0105,,38.27,1996.0
0105,,38.82,1997.0
0105,,39.37,1998.0
0105,,39.92,1999.0
0105,,40.47,2000.0
