PCC,UNU_Key,Year
30012200,0307,2000
30012200,0307,2001
30012200,0307,2002
30012200,0307,2003
30012200,0307,2004
30012200,0307,2005
30012200,0307,2006
30012200,0307,2007
28991490,0304,2008
28991490,0304,2009
28991490,0304,2010
28991490,0304,2011
28231100,0301,2008
28231100,0301,2009
28231100,0301,2010
,0301,1996
30011320,0301,2004
30011320,0301,2005
30011320,0301,2006
30011320,0301,2007
30011350,0307,2004
30011350,0307,2005
30011350,0307,2006
30011350,0307,2007
30011370,0307,2004
30011370,0307,2005
30011370,0307,2006
30011390,0307,2007
30021100,0301,1994
30021100,0301,1995
30021650,0301,2007
,0203,1997
,0203,1998
,0203,1999
,0203,2000
,0203,2001
,0203,2002
,0203,2003
,0203,2004
28232300,0403,2008
28232300,0403,2009
28232300,0403,2010
26401270,0403,2008
26401270,0403,2009
26401270,0403,2010
32304450,0305,1996
31501250,,1996
31501250,,1997
299900Z0,0404,2008
299900Z0,0404,2009
299900Z0,0404,2010
33201215,0902,1995
33201215,0902,1996
33201215,0902,1997
33201215,0902,2002
33201239,0902,1999
33201239,0902,2000
33201239,0902,2001
33201239,0902,2002
33101330,0802,1995
33101330,0802,1996
33101330,0802,1997
33101330,0802,2004
33101330,0802,2005
33101330,0802,2006
33101330,0802,2007
32501130,0802,2008
32501130,0802,2009
32501130,0802,2010
33501113,0201,1996
33501113,0201,2006
33501115,0201,1996
33501117,0201,1996
33501117,0201,1997
33501150,0201,1997
33501213,0201,1997
33501215,0201,1997
33501217,0201,1997
33501250,0201,1997
33501230,0201,2004
33501230,0201,2006
33501413,0201,1997
33501419,0201,1997
33501419,0201,1995
33501419,0201,2004
33501419,0201,2005
33501419,0201,2006
33501419,0201,2007
33501433,0201,1997
33501443,0201,1997
33501443,0201,1995
33501460,0201,1999
33501475,0201,2005
33501475,0201,2006
33501475,0201,2007
33501475,0201,1995
33501475,0201,1996
33501475,0201,1997
33501475,0201,1998
33501570,0201,1995
33501570,0201,1996
33501570,0201,1997
33501570,0201,2002
33502970,0201,2003
33502970,0201,2004
33502970,0201,2005
33502970,0201,2006
33502970,0201,2007
26522870,0201,2008
26522870,0201,2009
26522870,0201,2010
26522100,0201,2008
26522100,0201,2009
26522100,0201,2010
33502235,0201,1999
33502235,0201,2005
33502239,0201,1999
32402000,0701,2008
32402000,0701,2009
32402000,0701,2010
32502130,0205,2015
32502130,0205,2014
32502130,0205,2013
32502130,0205,2012
32502130,0205,2011
32502130,0205,2010
32502130,0205,2009
32502130,0205,2008
33101653,0205,2007
33101653,0205,2006
33101653,0205,2005
33101653,0205,2004
33101653,0205,2003
33101653,0205,2002
33101653,0205,2001
33101653,0205,2000
33101653,0205,1999
33101653,0205,1998
33101653,0205,1997
33101653,0205,1996
33101653,0205,1995
29246000,0102,1995
29246000,0102,1996
29246000,0102,1997
29246000,0102,1998
29246000,0102,1999
29246000,0102,2000
29246000,0102,2001
29246000,0102,2002
29246000,0102,2003
29246000,0102,2004
29246000,0102,2005
29246000,0102,2006
29246000,0102,2007
28295000,0102,2008
28295000,0102,2009
28295000,0102,2010
28295000,0102,2011
28295000,0102,2012
28295000,0102,2013
28295000,0102,2014
28295000,0102,2015
,0112,2006
29231390,0112,2007
28251390,0112,2008
28251390,0112,2009
28251390,0112,2010
28251390,0112,2011
28251390,0112,2012
28251390,0112,2013
28251390,0112,2014
28251390,0112,2015
,0408,2011
33501230,0201,2007
26516370,0902,2015
26516370,0902,2014
26516370,0902,2013
26516370,0902,2012
26516370,0902,2011
26516370,0902,2010
26516370,0902,2009
26516370,0902,2008
33206370,0902,2007
33206370,0902,2006
33206370,0902,2005
33206370,0902,2004
33206370,0902,2003
33206370,0902,2002
33206370,0902,2001
33206370,0902,2000
33206370,0902,1999
33206370,0902,1998
33206370,0902,1997
33206370,0902,1996
33206370,0902,1995
28221200,0001,1993
29231230,0111,1993
29231270,0113,1993
29231333,0113,1993
29242233,0201,1993
29242235,0201,1993
29405233,0601,1993
29405235,0601,1993
29405270,0601,1993
29405290,0601,1993
29542230,0104,1993
29542270,0105,1993
29545000,0201,1993
29562100,0105,1993
29711110,0108,1993
29711133,0108,1993
29711135,0108,1993
29711150,0109,1993
29711170,0109,1993
29711210,0102,1993
29711330,0104,1993
29711350,0104,1993
29711370,0105,1993
29711400,0201,1993
29711550,0106,1993
29712113,0204,1993
29712115,0204,1993
29712130,0601,1993
29712150,0201,1993
29712170,0202,1993
29712180,0201,1993
29712250,0205,1993
29712313,0205,1993
29712350,0205,1993
29712373,0205,1993
29712375,0205,1993
29712430,0203,1993
29712450,0202,1993
29712470,0202,1993
29712530,0203,1993
29712550,0203,1993
29712570,0203,1993
29712630,0106,1993
29712653,0106,1993
29712655,0106,1993
29712657,0106,1993
29712690,0106,1993
29712700,0114,1993
29712810,0103,1993
29712833,0202,1993
29712835,0202,1993
29712850,0202,1993
29712870,0103,1993
29712890,0202,1993
30011100,0301,1993
30011320,0301,1993
30011330,0307,1993
30011350,0307,1993
30011370,0301,1993
30012150,0307,1993
30012170,0307,1993
30012190,0307,1993
30021100,0301,1993
30021203,0301,1993
30021209,0301,1993
30021300,0302,1993
30021530,0301,1993
30021555,0301,1993
30021557,0301,1993
30021570,0301,1993
30021590,0301,1993
30021600,0301,1993
31621150,0901,1993
31621170,0309,1993
31621190,0901,1993
32201250,0406,1993
32201290,0404,1993
32301155,0402,1993
32301159,0402,1993
32301175,0402,1993
32301177,0402,1993
32301179,0402,1993
32301270,0403,1993
32302020,0404,1993
32302030,0407,1993
32302045,0308,1993
32302049,0309,1993
32302050,0407,1993
32302060,0408,1993
32302083,0308,1993
32302085,0407,1993
32303135,0403,1993
32303139,0403,1993
32303150,0403,1993
32303175,0403,1993
32303179,0403,1993
32303230,0403,1993
32303250,0306,1993
32303275,0403,1993
32303279,0403,1993
32303290,0403,1993
32303335,0406,1993
32303339,0404,1993
32303350,0404,1993
32304100,0401,1993
32304235,0405,1993
32304237,0405,1993
32304355,0602,1993
32304359,0403,1993
32304370,0403,1993
32304450,0305,1993
32304490,0305,1993
33101210,0802,1993
33101833,0801,1993
33201235,0902,1993
33201239,0902,1993
33205235,0901,1993
33205239,0901,1993
33205271,0901,1993
33205283,0901,1993
33205313,0901,1993
33205381,0901,1993
33205383,0901,1993
33206210,0901,1993
33206255,0901,1993
33206530,0404,1993
33206550,0901,1993
33206570,0901,1993
33207015,0901,1993
33403533,0404,1993
33403535,0404,1993
33403550,0404,1993
33403590,0404,1993
33501460,0201,1993
33501473,0201,1993
33502133,0201,1993
33502135,0201,1993
33502137,0201,1993
33502235,0201,1993
33502239,0201,1993
36301430,0403,1993
36301537,0403,1993
36301540,0403,1993
36301550,0403,1993
36502030,0701,1993
36503310,0701,1993
36504200,0702,1993
36504355,0701,1993
28221200,0001,1994
29231230,0111,1994
29231333,0113,1994
29242233,0201,1994
29242235,0201,1994
29405233,0601,1994
29405235,0601,1994
29405270,0601,1994
29405290,0601,1994
29542230,0104,1994
29542270,0105,1994
29545000,0201,1994
29562100,0105,1994
29711110,0108,1994
29711133,0108,1994
29711135,0108,1994
29711150,0109,1994
29711170,0109,1994
29711200,0102,1994
29711330,0104,1994
29711350,0104,1994
29711370,0105,1994
29711400,0201,1994
29711550,0106,1994
29712113,0204,1994
29712115,0204,1994
29712130,0601,1994
29712150,0201,1994
29712170,0202,1994
29712180,0201,1994
29712250,0205,1994
29712313,0205,1994
29712350,0205,1994
29712373,0205,1994
29712375,0205,1994
29712430,0203,1994
29712450,0202,1994
29712470,0202,1994
29712493,0202,1994
29712495,0201,1994
29712530,0203,1994
29712550,0203,1994
29712570,0203,1994
29712630,0106,1994
29712653,0106,1994
29712655,0106,1994
29712657,0106,1994
29712690,0106,1994
29712700,0114,1994
29712810,0103,1994
29712833,0202,1994
29712835,0202,1994
29712850,0202,1994
29712870,0103,1994
29712890,0202,1994
30011100,0301,1994
30011320,0301,1994
30011330,0307,1994
30011350,0307,1994
30011370,0301,1994
30012150,0307,1994
30012170,0307,1994
30012190,0307,1994
30021430,0304,1994
30021450,0304,1994
30021530,0301,1994
30021555,0301,1994
30021557,0301,1994
30021570,0301,1994
30021590,0301,1994
31621157,0901,1994
31621190,0901,1994
32201250,0406,1994
32201290,0404,1994
32202020,0305,1994
32202030,0304,1994
32202040,0305,1994
32202050,0305,1994
32301155,0402,1994
32301159,0402,1994
32301175,0402,1994
32301177,0402,1994
32301179,0402,1994
32301270,0403,1994
32302020,0404,1994
32302030,0407,1994
32302045,0308,1994
32302049,0309,1994
32302050,0407,1994
32302060,0408,1994
32302083,0308,1994
32302085,0407,1994
32303135,0403,1994
32303139,0403,1994
32303150,0403,1994
32303175,0403,1994
32303179,0403,1994
32303230,0403,1994
32303250,0306,1994
32303275,0403,1994
32303279,0403,1994
32303290,0403,1994
32303335,0406,1994
32303339,0404,1994
32303350,0404,1994
32304100,0401,1994
32304235,0405,1994
32304237,0405,1994
32304355,0602,1994
32304359,0403,1994
32304370,0403,1994
32304450,0305,1994
32304490,0305,1994
33101210,0802,1994
33101833,0801,1994
33201215,0902,1994
33201235,0902,1994
33201239,0902,1994
33204330,0901,1994
33204555,0901,1994
33205135,0901,1994
33205175,0901,1994
33205179,0901,1994
33205235,0901,1994
33205239,0901,1994
33205271,0901,1994
33205283,0901,1994
33205313,0901,1994
33205381,0901,1994
33205383,0901,1994
33206210,0901,1994
33206255,0901,1994
33206530,0404,1994
33206550,0901,1994
33206570,0901,1994
33207015,0901,1994
33403533,0404,1994
33403535,0404,1994
33403550,0404,1994
33403590,0404,1994
33502133,0201,1994
33502135,0201,1994
33502137,0201,1994
33502235,0201,1994
33502239,0201,1994
36301533,0403,1994
36301537,0403,1994
36301540,0403,1994
36301550,0403,1994
36301590,0403,1994
36502030,0701,1994
36503310,0701,1994
36504200,0702,1994
36504355,0701,1994
28221200,0001,1995
29231230,0111,1995
29231270,0113,1995
29231333,0113,1995
29231375,0112,1995
29242233,0201,1995
29242235,0201,1995
29243330,1002,1995
29243350,1001,1995
29405233,0601,1995
29405235,0601,1995
29405270,0601,1995
29405290,0601,1995
29542130,0101,1995
29542230,0104,1995
29542250,0101,1995
29542270,0105,1995
29545000,0201,1995
29562100,0105,1995
29711110,0108,1995
29711133,0108,1995
29711135,0108,1995
29711150,0109,1995
29711170,0109,1995
29711200,0102,1995
29711330,0104,1995
29711350,0104,1995
29711370,0105,1995
29711400,0201,1995
29711550,0106,1995
29712113,0204,1995
29712115,0204,1995
29712130,0601,1995
29712150,0201,1995
29712170,0202,1995
29712180,0201,1995
29712250,0205,1995
29712313,0205,1995
29712315,0205,1995
29712330,0205,1995
29712350,0205,1995
29712373,0205,1995
29712375,0205,1995
29712430,0203,1995
29712450,0202,1995
29712470,0202,1995
29712493,0202,1995
29712495,0201,1995
29712530,0203,1995
29712550,0203,1995
29712570,0203,1995
29712630,0106,1995
29712653,0106,1995
29712655,0106,1995
29712657,0106,1995
29712690,0106,1995
29712700,0114,1995
29712810,0103,1995
29712833,0202,1995
29712835,0202,1995
29712850,0202,1995
29712870,0103,1995
29712890,0202,1995
30011100,0301,1995
30011200,0301,1995
30011320,0301,1995
30011330,0307,1995
30011350,0307,1995
30011370,0301,1995
30012150,0307,1995
30012170,0307,1995
30012190,0307,1995
30012200,0307,1995
30021430,0304,1995
30021450,0304,1995
30021530,0301,1995
30021555,0301,1995
30021557,0301,1995
30021570,0301,1995
30021590,0301,1995
31501230,,1995
31501250,,1995
31501293,0507,1995
31501295,0507,1995
31501510,0503,1995
31501530,0502,1995
