PCC,AverageWeight,Year
32201400,5.0,2013
28252050,,2013
28252030,0.53,2013
28251390,,2013
28251335,140.0,2013
28251333,128.0,2013
28251270,33.72,2013
28251250,26.7,2013
28251240,33.72,2013
28251220,26.7,2013
28241190,2.05,2013
28241180,3.1,2013
28241150,2.9,2013
28241120,2.28,2013
28241127,3.64,2013
28241125,5.57,2013
28241123,5.89,2013
28241117,3.13,2013
28241115,5.7,2013
28241113,3.55,2013
28232200,,2013
28232100,,2013
28231300,2.0,2013
28231200,0.2,2013
27903154,,2013
27903145,,2013
27903118,14.0,2013
27903109,,2013
27902080,6.5,2013
27902050,,2013
27902020,,2013
27512900,,2013
27512890,7.1,2013
27512850,3.38,2013
27512700,22.9,2013
27512650,4.0,2013
27512630,17.2,2013
27512530,1.01,2013
27512490,3.36,2013
27512450,1.54,2013
27512430,3.96,2013
27512370,1.5,2013
27512350,1.57,2013
27512330,,2013
27512200,0.52,2013
27511580,7.96,2013
27511530,2.9,2013
27511400,1.81,2013
27511200,,2013
27511170,,2013
27511150,,2013
27511135,,2013
27511133,,2013
27511110,69.0,2013
27403930,,2013
27403910,,2013
27403300,,2013
27403200,0.4,2013
27402500,,2013
27402400,0.6,2013
27402200,0.6,2013
27402100,,2013
27401570,0.12,2013
27401550,0.12,2013
27401530,0.11,2013
27401510,0.12,2013
27401490,0.12,2013
27401460,,2013
27401300,,2013
27401295,,2013
27401293,,2013
27401250,,2013
27401100,,2013
27115040,1.54,2013
269900Z0,,2013
26701500,,2013
26701400,0.5,2013
26701250,0.5,2013
26601280,0.75,2013
26601230,,2013
26517015,0.15,2013
26516670,,2013
26516650,,2013
26516370,,2013
26516255,,2013
26516210,,2013
26515383,,2013
26515381,,2013
26515313,,2013
26515283,,2013
26515271,,2013
26515239,,2013
26515235,,2013
26515175,,2013
26515135,,2013
26514555,,2013
26514330,,2013
26511239,,2013
26511235,,2013
26511215,,2013
26406050,2.0,2013
26404400,,2013
26404370,3.8,2013
26404359,3.21,2013
26404355,,2013
26404239,,2013
26404237,,2013
26404235,,2013
26404100,,2013
26403480,,2013
26403460,,2013
26403440,,2013
26403420,7.7,2013
26403100,2.4,2013
26402090,,2013
26305080,,2013
26305020,,2013
26302340,,2013
26302330,0.5,2013
26302200,0.09,2013
26302100,0.45,2013
26301300,0.66,2013
26301200,,2013
26301100,,2013
26203000,,2013
26201800,10.32,2013
26201640,10.32,2013
26201500,9.39,2013
26201400,9.5,2013
26201300,8.0,2013
26201200,,2013
26201100,,2013
26123000,0.003,2013
26122000,0.4,2013
26521200,0.08,2013
27512690,4.2,2013
27512170,1.5,2013
26521400,,2013
28991490,110.6,2013
27904070,51.9,2013
26403300,2.79,2013
27512830,4.3,2013
26112240,17.0,2013
28241133,,2013
28241185,,2013
299900Z1,,2014
29312310,,2014
28942270,,2014
28942250,,2014
26701300,,2014
28942230,,2014
28942130,45.75,2014
299900Z1,,2015
28931560,,2014
28304010,15.2,2014
28295000,,2014
28294350,,2014
28294330,,2014
28252070,0.53,2014
26404270,,2014
26521100,0.08,2014
32201400,5.0,2014
28252050,,2014
28252030,0.53,2014
28251390,,2014
28251335,140.0,2014
28251333,128.0,2014
28251270,33.72,2014
28251250,26.7,2014
28251240,33.72,2014
28251220,26.7,2014
28241190,2.05,2014
28241180,3.1,2014
28241150,2.9,2014
28241120,2.28,2014
28241127,3.64,2014
28241125,5.57,2014
28241123,5.89,2014
28241117,3.13,2014
28241115,5.7,2014
28241113,3.55,2014
28232200,,2014
28232100,,2014
28231300,2.0,2014
28231200,0.2,2014
27903154,,2014
27903145,,2014
27903118,14.0,2014
27903109,,2014
27902080,6.5,2014
27902050,,2014
27902020,,2014
27512900,,2014
27512890,7.1,2014
27512850,3.38,2014
27512700,22.9,2014
27512650,4.0,2014
27512630,17.2,2014
27512530,1.01,2014
27512490,3.36,2014
27512450,1.54,2014
27512430,3.96,2014
27512370,1.5,2014
27512350,1.57,2014
27512330,,2014
27512200,0.52,2014
27511580,7.96,2014
27511530,2.9,2014
27511400,1.81,2014
27511200,,2014
27511170,,2014
27511150,,2014
27511135,,2014
27511133,,2014
27511110,69.0,2014
27403930,,2014
27403910,,2014
27403300,,2014
27403200,0.4,2014
27402500,,2014
27402400,0.6,2014
27402200,0.6,2014
27402100,,2014
27401570,0.12,2014
27401550,0.12,2014
27401530,0.11,2014
27401510,0.12,2014
27401490,0.12,2014
27401460,,2014
27401300,,2014
27401295,,2014
27401293,,2014
27401250,,2014
27401100,,2014
27115040,1.54,2014
269900Z0,,2014
26701500,,2014
26701400,0.5,2014
26701250,0.5,2014
26601280,0.75,2014
26601230,,2014
26517015,0.15,2014
26516670,,2014
26516650,,2014
26516370,,2014
26516255,,2014
26516210,,2014
26515383,,2014
26515381,,2014
26515313,,2014
26515283,,2014
26515271,,2014
26515239,,2014
26515235,,2014
26515175,,2014
26515135,,2014
26514555,,2014
26514330,,2014
26511239,,2014
26511235,,2014
26511215,,2014
26406050,2.0,2014
26404400,,2014
26404370,3.8,2014
26404359,3.21,2014
26404355,,2014
26404239,,2014
26404237,,2014
26404235,,2014
26404100,,2014
26403480,,2014
26403460,,2014
26403440,,2014
26403420,7.7,2014
26403100,2.4,2014
26402090,,2014
26305080,,2014
26305020,,2014
26302340,,2014
26302330,0.5,2014
26302200,0.09,2014
26302100,0.45,2014
26301300,0.66,2014
26301200,,2014
26301100,,2014
26203000,,2014
26201800,10.32,2014
26201640,10.32,2014
26201500,9.39,2014
26201400,9.5,2014
26201300,8.0,2014
26201200,,2014
26201100,,2014
26123000,0.003,2014
26122000,0.4,2014
26521200,0.08,2014
27512690,4.2,2014
27512170,1.5,2014
26521400,,2014
28991490,110.6,2014
27904070,51.9,2014
26403300,2.79,2014
27512830,4.3,2014
26112240,17.0,2014
28241133,,2014
28241185,,2014
30012393,,2002
30012393,,2001
31501100,,2003
30021100,4.9,2004
30021300,,2001
30021400,7.7,2001
30021400,7.7,2000
30021400,7.7,1999
30021400,7.7,1998
30021400,7.7,1997
30021400,7.7,1996
30021300,,2007
30021300,,2006
30021300,,2005
30021300,,2004
30021200,,2003
30021300,,2002
30021650,1.18,2004
30021300,,2000
30021300,,1999
30021300,,1998
30021300,,1997
30021300,,1996
30021300,,1993
30021209,,1993
30021203,,1993
30021200,,2007
30021200,,2006
30021300,,2003
30021790,,2001
30021770,,2002
30021800,,2001
29712570,0.5,2002
29712570,0.5,2001
29712570,0.5,2000
29712570,0.5,1999
29712570,0.5,1998
29712570,0.6,1997
29712570,0.6,1996
29712570,0.5,2006
29712570,0.6,1994
29712570,0.5,2007
29712550,1.61,2007
29712550,1.61,2006
29712550,1.61,2005
29712550,1.61,2004
29712550,1.61,2003
29712550,1.61,2002
29712550,1.61,2001
29712550,1.61,2000
29712550,1.61,1999
29712833,9.0,1995
29712570,0.6,1995
29712690,4.0,1997
30012393,,2000
29712833,9.0,1993
29712690,4.0,2007
29712690,4.0,2006
29712690,4.0,2005
29712690,4.0,2004
29712690,4.0,2003
29712690,4.0,2002
29712690,4.0,2001
29712690,4.0,2000
29712570,0.5,2005
29712690,4.0,1998
29712550,1.61,1996
29712690,4.0,1996
29712690,4.0,1995
29712690,4.0,1994
29712690,4.0,1993
29712657,4.0,1995
29712657,4.0,1994
29712657,4.0,1993
29712655,4.0,1995
29712655,4.0,1994
29712655,4.0,1993
29712690,4.0,1999
29712493,3.57,2002
29712550,1.61,1998
29712495,,1999
29712495,,1998
29712495,,1997
29712495,,1996
29712495,,1995
29712495,,1994
29712493,3.57,2007
29712493,3.57,2006
29712493,3.57,2005
29712495,,2001
29712493,3.57,2003
29712495,,2002
29712493,3.57,2001
29712493,3.57,2000
29712493,3.57,1999
29712493,3.57,1998
29712493,3.57,1997
29712493,3.57,1996
29712493,3.57,1995
29712493,,1994
29712490,,1993
29712470,,2003
29712493,3.57,2004
29712530,,1998
29712550,1.61,1995
29712550,1.61,1994
29712550,1.61,1993
29712530,,2007
29712530,,2006
29712530,,2005
29712530,,2004
29712530,,2003
29712530,,2002
29712530,,2001
29712495,,2000
29712530,,1999
29712835,6.7,1993
29712530,,1997
29712530,,1996
29712530,,1995
29712530,,1994
29712530,,1993
29712497,,2007
29712497,,2006
29712497,,2005
29712497,,2004
29712495,,2003
29712530,,2000
30012150,,2000
30011330,,2003
30012170,113.0,2003
30012170,113.0,2002
30012170,113.0,2001
30012170,113.0,2000
30021476,,1995
30021400,7.7,2003
30021500,,2004
30021500,,2003
30021500,,2002
