PCC_2007,PCC_2008
,100000Z1
,100000Z2
,100000Z3
,16103900
,18111000
,18121100
,18121230
,18121250
,18121300
,18121407
,18121414
,18121421
,18121428
,18121435
,18121442
,18121449
,18121456
,18121463
,18121910
,18121920
,18121930
,18121990
,269900Z0
,299900Z0
13101030,07101000
13101050,07101000
13201100,07291100
13201200,07291200
13201300,07291300
13201400,07291400
13201530,07291500
13201550,07291500
13201570,07291500
13201630,07291900
13201650,07291900
13201690,07291900
14111133,08111133
14111135,08111136
14111137,08111136
14111150,08111150
14111233,08111233
14111235,08111236
14111237,08111236
14111250,08111250
14111290,08111290
14121030,08112030
14121050,08112050
14122010,08113010
14122030,08113030
14122050,23523030
14122070,23523050
14131000,08114000
14211150,08121150
14211190,08121190
14211210,08121210
14211230,08121230
14211250,08121250
14211290,08121290
14211330,08121300
14211350,23991320
14221140,08122140
14221160,08122160
14221210,08122210
14221230,08122230
14221250,08122250
14301130,08911100
14301230,08911200
14301250,08911200
14301313,08911900
14301315,08911900
14301355,08911900
14301359,08911900
14301373,08911900
14301375,08911900
14301383,08911900
14301389,08911900
14401000,08931000
14401000,10843000
14501000,08991000
14502150,08992100
14502190,08992100
14502250,08992200
14502270,08992200
14502313,08992900
14502315,08111290
14502315,08992900
14502320,08992900
14502333,08992900
14502335,08992900
14502340,08992900
14502353,08992900
14502355,08992900
14502363,08992900
14502365,08992900
14502370,08992900
14502380,08992900
15111140,10111140
15111190,10111190
15111200,10113100
15111330,10111230
15111350,10111250
15111390,10111290
15111430,10113230
15111450,10113250
15111490,10113290
15111500,10111300
15111600,10113300
15111700,10111400
15111700,10113400
15111800,10111500
15111800,10113500
15111900,10112000
15111900,10113910
15112100,10114100
15112400,10114200
15112500,10114300
15112600,10114400
15112700,10114500
15113040,10115040
15113060,10115060
15113070,10115070
15114030,10116030
15114090,10116090
15121113,10121010
15121115,10121020
15121117,10121030
15121130,10121040
15121153,10121050
15121155,10121060
15121157,10121070
15121170,10124020
15121213,10122013
15121215,10122015
15121217,10122017
15121253,10122053
15121255,10122055
15121257,10122057
15121271,10124050
15121275,10122080
15121300,10113930
15121400,10123000
15131110,10131120
15131130,10131150
15131150,10131180
15131170,10131200
15131190,10131300
15131213,10131430
15131213,10851100
15131215,10131460
15131215,10851100
15131223,10131505
15131223,10851100
15131225,10131515
15131225,10851100
15131233,10131525
15131233,10851100
15131235,10131535
15131235,10851100
15131243,10131545
15131243,10851100
15131245,10131555
15131245,10851100
15131253,10131565
15131253,10851100
15131259,10131575
15131259,10851100
15131260,10131585
15131260,10851100
15131270,10891400
15131290,10131595
15131290,10851100
15131300,10131600
15139000,10139100
15201130,10201200
15201190,10201100
15201210,10201330
15201230,10201360
15201250,10201600
15201270,10201400
15201290,10201500
15201310,10202200
15201330,10202100
15201353,10202420
15201355,10202450
15201359,10202480
15201370,10202300
15201411,10202510
15201411,10851200
15201412,10202520
15201412,10851200
15201413,10202530
15201413,10851200
15201414,10202540
15201414,10851200
15201415,10202550
15201415,10851200
15201416,10202560
15201416,10851200
15201417,10202570
15201417,10851200
15201419,10202580
15201419,10851200
15201430,10202590
15201430,10851200
15201451,10202630
15201459,10202660
15201530,10203100
15201553,10203200
15201559,10203200
15201559,10203300
15201600,10203400
15201600,10851200
15201700,10204100
15201800,10204200
15311100,10311110
15311210,10311200
15311230,10311300
15311250,10311130
15311270,10311430
15311290,10311460
15321013,10321210
15321015,10321220
15321021,10321300
15321022,10321910
15321023,10321400
15321024,10321100
15321025,10321500
15321026,10321600
15321029,10321920
15321030,10321700
15321040,10321230
15321040,10321300
15321040,10321400
15321040,10321500
15321040,10321600
15321040,10321700
15321040,10321930
15331100,10391100
15331200,10391200
15331330,10391330
15331350,10391350
15331390,10391390
15331423,10391710
15331423,10851300
15331425,10391721
15331427,10391725
15331430,10391730
15331430,10851300
15331440,10391740
15331440,10851300
15331461,10391750
15331461,10851300
15331462,10391600
15331462,10851300
15331463,10391500
15331463,10851300
15331464,10391500
15331464,10851300
15331465,10391760
15331465,10851300
15331466,10391770
15331466,10851300
15331467,10391780
15331467,10851300
15331490,10391790
15331490,10851300
15331500,10391800
15332100,10392100
15332230,10392230
15332290,10392290
15332330,10392330
15332390,10392390
15332400,10392430
15332510,10392510
15332520,10392520
15332530,10392410
15332550,
15332550,10392550
15333000,10393000
15339000,10399100
15411130,10411100
15411150,10411200
15411190,10411900
15411210,10412100
15411220,10412200
15411230,10412310
15411240,10412400
15411250,10412500
15411260,10412600
15411310,10412700
15411330,10412800
15411350,10412900
15411370,10412900
15412000,10413000
15413130,10414130
15413150,10414150
15413170,10414170
15413190,10414190
